"","","","","a","a","a","a"
"a.temp","-6115103.16967925","-4145217.45919096","Wetland (2-3)","8993.43319380329","8876.77950111395","7351.60446646833","4943.21871369254"
"a.temp","-6115103.16967925","-4145367.45919096","Wetland (2-3)","9138.11663371632","8780.24767938792","7209.01680060444","5008.25780600402"
"a.temp","-6115103.16967925","-4145517.45919096","Wetland (2-3)","9282.96884684005","8685.23369353968","7066.73603804452","5076.89681315272"
"a.temp","-6115103.16967925","-4145667.45919096","Wetland (2-3)","9427.98205404545","8591.78789958161","6924.78109628003","5148.99177037605"
"a.temp","-6115103.16967925","-4145817.45919096","Wetland (2-3)","9573.14893916328","8499.96201823262","6783.17243120041","5224.3996067874"
"a.temp","-6115103.16967925","-4145967.45919096","Wetland (2-3)","9718.46261563027","8409.80911266107","6641.93219111708","5302.97899782758"
"a.temp","-6115103.16967925","-4146117.45919096","Wetland (2-3)","9863.91659592696","8321.38355752198","6501.08438888447","5384.59109416866"
"a.temp","-6115103.16967925","-4146267.45919096","Wetland (2-3)","10009.5047635437","8234.74099844052","6360.6550945164","5469.10013177675"
"a.temp","-6115103.16967925","-4146417.45919096","Wetland (2-3)","10155.2213472382","8149.93830107917","6220.67265104004","5556.3739301275"
"a.temp","-6115103.16967925","-4146567.45919096","Wetland (2-3)","10301.0608973738","8067.03348892251","6081.16791672435","5646.28428715741"
"a.temp","-6115103.16967925","-4146717.45919096","Wetland (2-3)","10447.0182641462","7986.08566892426","5942.17453727149","5738.70728051193"
"a.temp","-6115103.16967925","-4147017.45919096","Wetland (2-3)","10739.2672287919","7830.30231289939","5665.87223924064","5930.61811714435"
"a.temp","-6115103.16967925","-4147167.45919096","Wetland (2-3)","10885.5498534251","7755.58955279336","5528.64750471558","6029.88111420124"
"a.temp","-6115103.16967925","-4147467.45919096","Wetland (2-3)","11178.4106925539","7612.83385549676","5256.29272695099","6234.49566937061"
"a.temp","-6115103.16967925","-4147767.45919096","Wetland (2-3)","11471.6404934693","7479.39230896453","4987.11171234393","6446.58097377215"
"a.temp","-6115103.16967925","-4147917.45919096","Wetland (2-3)","11618.3850259579","7416.32282950236","4853.87661888908","6555.19955847273"
"a.temp","-6115103.16967925","-4148067.45919096","Wetland (2-3)","11765.2116687888","7355.77183655107","4721.64730061428","6665.42393636003"
"a.temp","-6115103.16967925","-4148217.45919096","Wetland (2-3)","11912.1173857297","7297.80201919715","4590.51067217997","6777.17575774756"
"a.temp","-6115103.16967925","-4148367.45919096","Wetland (2-3)","12059.0992869038","7242.4753580111","4460.56310698529","6890.38070438791"
"a.temp","-6115103.16967925","-4148517.45919096","Wetland (2-3)","12206.1546201662","7189.8528713318","4331.91161398733","7004.96832622399"
"a.temp","-6115103.16967925","-4149117.45919096","Wetland (2-3)","12795.0596173447","7007.57620803358","3832.85771082081","7475.86257574345"
"a.temp","-6115103.16967925","-4149267.45919096","Wetland (2-3)","12942.4451171873","6969.33707833093","3712.76625057363","7596.43049408086"
"a.temp","-6114953.16967925","-4141167.45919096","River (1)","5134.84611370208","11824.682588188","11245.309788147","4758.95106629587"
