"","","","","","",""
"a.temp",-6111653.16967925,-4150467.45919096,13959.5878381636,3345.73853004076,2112.49620861187,7404.88104235325
"a.temp",-6111653.16967925,-4150617.45919096,14109.1611235894,3326.33451585967,1990.34550553405,7553.44280784614
"a.temp",-6111653.16967925,-4150767.45919096,14258.743374204,3313.61378428438,1872.2473745207,7702.06032509501
"a.temp",-6111503.16967925,-4142517.45919096,6090.41760566567,9026.68047021696,9787.68788996648,1077.662865371
"a.temp",-6111503.16967925,-4147017.45919096,10538.8916215798,5061.81887382372,5365.52739545688,3981.63374149372
"a.temp",-6111503.16967925,-4147167.45919096,10687.9170847927,4945.45703766579,5220.4137030889,4128.03128033223
"a.temp",-6111503.16967925,-4147317.45919096,10836.9694385194,4830.9502493193,5075.5841271127,4274.67861381431
"a.temp",-6111503.16967925,-4147467.45919096,10986.047588255,4718.43356543231,4931.06370181916,4421.55088757344
"a.temp",-6111503.16967925,-4148217.45919096,11731.7908526961,4191.21585120577,4214.20979916742,5158.61291932257
"a.temp",-6111503.16967925,-4148517.45919096,12030.236348942,4000.29502804463,3930.9329975718,5454.42547399833
"a.temp",-6111503.16967925,-4148667.45919096,12179.4877401065,3909.97382489943,3790.25978415713,5602.49875068276
"a.temp",-6111503.16967925,-4148817.45919096,12328.7573019913,3823.40559075266,3650.32933190951,5750.67189564854
"a.temp",-6111503.16967925,-4148967.45919096,12478.0443824906,3740.85088066857,3511.23044407498,5898.93738324133
"a.temp",-6111503.16967925,-4149117.45919096,12627.3483602617,3662.58109963436,3373.06599867228,6047.28842138376
"a.temp",-6111503.16967925,-4149267.45919096,12776.6686429368,3588.87660855022,3235.95569058031,6195.71886478092
"a.temp",-6111503.16967925,-4149417.45919096,12926.0046654566,3520.02419187695,3100.03939191088,6344.22314010173
"a.temp",-6111503.16967925,-4149567.45919096,13075.3558885181,3456.31383288598,2965.48128157964,6492.79618126137
"a.temp",-6111503.16967925,-4149717.45919096,13224.721797127,3398.03477195262,2832.47493040967,6641.43337325628
"a.temp",-6111503.16967925,-4149867.45919096,13374.1018992456,3345.47086542375,2701.24956851442,6790.1305032674
"a.temp",-6111503.16967925,-4150017.45919096,13523.4957245309,3298.89531682943,2572.07780430519,6938.88371796231
"a.temp",-6111503.16967925,-4150167.45919096,13672.9028231537,3258.56491594064,2445.28510227324,7087.68948610212
"a.temp",-6111503.16967925,-4150317.45919096,13822.322764695,3224.71398908481,2321.26134491562,7236.54456570279
"a.temp",-6111503.16967925,-4150467.45919096,13971.7551371116,3197.54832823514,2200.47477408843,7385.44597511908
"a.temp",-6111503.16967925,-4150617.45919096,14121.1995457682,3177.23941675779,2083.48847642592,7534.39096751706
"a.temp",-6111503.16967925,-4150767.45919096,14270.655612529,3163.91929596813,1970.97925696839,7683.37700828241
"a.temp",-6111353.16967925,-4142517.45919096,6121.9307094578,8975.31666914301,9809.34672806485,958.59597923195
